telegram_id,username,tickets_count
7545188574,MainProjectX,1262730
7520288474,Frend_gift,348160
7304204238,Iabbyby,245280
1064498581,brokennoise,241740
504276778,Aleks_web3,226990
670809787,lapartizan10,208440
90284456,MGRosn,196140
304098685,Gashad0kuro,185180
7707730631,avalc,152160
2124742588,robocot3000,151810
5487407940,daylight1337,137470
975180783,rrrrrkkkskksk,133510
1839437211,id1808228,129290
5398900152,sprutel_pr,128400
7530825517,aka_yesssir,124560
6610062442,mrxxiii,116090
6574743468,Ladovol,104940
6978762073,Enternity_Officiall,104670
1558622241,BoxerSp,102450
6602563579,FeeaWinks,99450
1883605050,lykooos,93310
860685642,sanyyaass,92880
1224972003,Awensis7777,91470
6092639892,Sergio_MarquinaTG,90910
7288052518,vanniel,89520
7642557836,depchik_dodep,89420
843831397,opl69,88680
6526642074,idsato,86970
6493560631,iD_MR_MOZ,82260
7765051394,andersoll_zolotovsky,81960
7928812330,memodead,72830
397559262,kyokks,72480
8271552143,dododhd,71560
1012435345,qdeg77,71340
7246213032,paul_dswen,70470
6373884968,Orangeeeeeee3,67380
971037052,margielakid,63230
7907463472,trust_wallet_supporr,60270
965251210,techiqqe,60000
1333944445,davizacon,58350
595848111,UWONNA,56310
7682819804,workzlodey,55830
754313447,https_msnthrp,55110
506761763,ke_Ppa,54880
7472017595,gazz_workaet1,53900
305094295,ladesov,52830
1006576642,meshokotami,52090
7146143844,rygme,51960
6109970375,artemabuzoff,51870
189133,SashmazY,51520
7728140079,elprimo,50290
5718448120,WWturn,49550
563791238,l3ksss,46230
6865197106,hoodhq,45520
5528322315,amr_16a,42210
8139899210,msnsmakakams,41310
7725782963,dog_gilf,40800
7421657578,CeoPepa,40530
1777841315,ReaIZero,40320
588983098,popupoxc,39860
409854249,GGTONADMIN,39580
5031071248,Binni,38950
5829737898,POGYT,38780
7116338492,memskwqq,37160
6779059746,aIfredos,37030
1860243632,Treyzitggg,36240
8172286856,dimamichalkov,36150
6153881664,lildrughill,36000
1058451426,bestonex,35900
8084992775,voxrationis,35140
6279020562,S1rex_01,34960
456510027,kamdegarson,34890
6611573137,radifbi,34260
857476985,vanbay,33500
6981193019,AmIIR_NT,33330
722579317,INTERmight,33280
665539825,denissooo,32450
7731630031,skywrathmage,31320
7356182654,t4mathy,30360
5344452689,nevmenozslk,30280
5577989651,PrvMmli,28930
669602114,fdasascdvxc,28150
6466144637,HamidCodm,27650
106825985,Lilnumb,27540
5105010242,westpf,27300
5966846871,getgems_crypta,27240
1816448042,xokav,26530
5572134241,Goodratowner,26190
7817595780,slyapak,25880
5835121411,pavel_tg456,25830
981515877,berkutmrw,25060
1498882914,gospod,24540
919972401,headshot,24510
1932145446,genius_mark,24120
266591879,purpoll,23980
1862796968,awqza,23000
7020812346,lalyou,22600
1930011083,Anisanich,22440
7763093913,Salimanor,22110
5259290827,nikto_q,21600
789006207,BOCKPECHETE,21180
7993656793,chjmnnvcx,21120
5195116051,wrx3xrw,21010
1205504115,azarov15,21000
7252457081,sa4iz1k,20840
7384641893,iam_fedor,20300
6438229207,lilyoungrichest,19630
7099488422,lemish92,19490
1067875912,sichonok3,18720
1172913436,why_glava,18710
5414532711,mahdi2634,18600
1953185972,gorrrW,18330
418650370,justv1,18330
5387658856,Dadruuz,18060
510862645,vipfragment,16950
7858123499,zavarkovarka,16860
7663520772,bearstg,16810
8054121370,deadlinexc,16740
2140967716,qwasvadim,16720
6128474210,verifynickname,16580
1582919876,agentguy,16410
910941849,miedv,16080
7538965112,,15840
905542637,fom_dj,15810
909606543,L_A_M_P_A5,15120
7051078802,Nikita_3434,14890
6240893016,prokopyan163,14490
5149790548,e1010,14160
318813094,Tg_Willy,14150
6061025009,nikita174736,13830
1002521266,Pryadko_Yaroslav,13650
7186937212,dinksik,13590
1942267108,mrazotaaaaaaaaaaaa,13530
123008320,Arlin2000,13350
458272666,sxvear,13170
7883499873,wekufy,13110
2095415223,tuobsos,12990
1981852166,fenebutt,12690
5108706918,Fr3akzz,12620
2067865900,nemat_okez01,12300
6242764410,bulingsI,12300
8092606975,KDprokh0roV1,12160
85896395,oleg001,12100
6058973093,Aristo_TAG,12030
7329008053,Dkdjsjxbbdsj,12000
924658524,Habatyn9,11580
5077264630,Emir_138496,11430
1694772444,povzov,11350
1220730974,Roko33,11220
6716364030,AAmuey,11220
7564288606,Vadizze,11180
1137154352,lerrrewsss,10980
6605428329,hajpayman,10750
917097061,sdertyxz,10680
6978736760,Abdulopahan,10620
951697289,Slacker_Ton,10610
7332824805,artartstall,10530
1075294333,sigmabooooychik,10500
5408353536,RealHighRoller,10440
1944425044,Qwizzy20001,10270
7328429006,alexgladkin,10220
7510932587,pavlos1k,9900
5895748550,Pohuyouz,9900
6348188274,rayanoxq,9790
709031492,qwitor,9750
6427585155,pasya69,9700
6499714069,vvvvvvvv363,9700
1497028797,s_leo777,9660
6785032444,Arseniy_na_hate,9630
402198909,kevinmakalister,9600
1294493496,TrubikRubik,9540
1045205119,BabyAksela,9330
1226376650,keceddy,9320
8129349680,LegitalBanderas,9210
5795800446,sashaa2201,9000
6039803982,papa_venya,8790
6859634996,SaidEvlo01,8760
7015978760,MR_ARSHAMM,8700
7642356679,twordnn,8700
8229093344,ne_monk,8590
6286841181,Mmdjvdsalehi,8580
6419798390,Danilka21_09,8570
1907371178,Vadimka2301,8570
496531454,rrr001m,8420
6866593057,Qwizik_net,8250
5840010681,wega077,8250
6190644528,P1BPS,8230
7620683168,Luek45,8220
774848687,kkuorf,8160
8318966,fakemurd,8160
959169,alfilkin,8130
898468514,EgorF_N,8130
6043371437,kafuda,8040
5803042923,lamlolital,8000
1359547153,sshuraev,7990
5861787608,psychosoftly,7590
1419298955,realElixir,7530
765239701,web3goy,7440
427298030,obr1gani,7440
6946806949,Spl1nteP,7280
6559080422,halfa_nett,7260
1516790731,sultanssea,7210
7895354760,lazzeroo,7200
2013766810,Farsng,7140
7021163368,ladnopidoras,7050
7653217520,gjngkk,7040
2115154029,yletaem1,7020
5309515374,st1tch,6960
7420263870,WwAziK,6950
7556464696,lhmanager2,6920
8199517414,satoshi_huyamoto888,6810
603773597,xaraks,6670
1645419206,nasvay_barmy,6600
5203967147,dmitt_pm,6600
5358891386,awaraged,6540
1693108151,fchernn,6330
6000289760,razbanperesild,6330
5288946574,kommdaTag,6300
2083233821,rohach1,6190
344290372,nickthesabre,6160
5977731053,elpuri13,6090
5261243524,Mazut3,6090
593165672,IlJI44,6070
1633264727,No_name_c3po,6000
7860408352,joinblacksourc,6000
8179983956,thesomid,5970
7259231823,k54k4,5880
1022510595,mescaIine,5820
2091488567,Sharane0,5800
387239336,pppiinn,5790
7812611927,keybo10,5670
7763562212,paranoiq117,5580
1051924611,wer_chik,5400
8016488461,firesosixuy,5400
610991849,ReGaRd_8,5370
7819557517,grev_goev,5160
7203053361,Lordezik,5160
6352478374,m777_blog,5140
5366523466,mdmc06,5130
5286181035,mister_nft,5070
7218005557,vipdevand,5040
342126358,robot102,4980
1505330959,NEO_rivs,4950
723895032,lexkeks,4920
2020091535,Kirieshka9_9,4900
626112502,anjei2,4860
2078416894,HamerTag,4790
1970050335,duplo,4760
469073132,Spezialzz,4740
883661229,titaite,4710
706909280,Ghost_Sword,4700
1473513564,idRudi,4680
514201453,nametagg,4680
968565869,Entereer,4600
1279945789,There_is_JDH,4590
1763386210,Horliteq,4570
6263127591,zaharglebo228,4560
7076134543,Makentosh_X,4500
5786619342,robert_rrrrr,4500
1052879158,eblan7354,4500
21731362,frog,4500
649384896,al1enofficial,4470
2074395901,Serabudabu,4440
7857185001,yegerrr,4300
1942356162,Olkaboomee,4260
6482811775,pporyagedagoshne,4260
1666880333,crashsys7em,4260
776996165,serdce_i,4230
1340415522,vladislav_03dp,4220
924453440,densaros,4110
5107359350,Bogdan_Tag,4110
8299307941,Ghaaazaal_a,4080
2028055547,Vanysha69,4050
6398563406,Hotyfy,4050
7631562129,Moorniings,4020
1325754844,j77777dd,3990
7120824098,JuliaHow22222222,3990
1539926700,Digrafov,3990
5241303688,mission_winnow,3960
6861025192,Sigma8,3940
7000509721,davidoimports,3920
531256528,sosynec666,3900
5977870475,goawp,3870
721044013,skyplaner777,3860
7005678101,lazzero37,3850
5993781648,asiimovvv,3810
7335863437,zzxxxcc13,3800
1899600457,swagslizz,3790
1829488699,Loniss_az,3790
7388370047,kis_tg,3780
710776960,Sem4ik1,3690
1158803702,miserable623,3690
5420187590,pen1lo,3690
2029840856,orb1tqt,3660
7786541863,,3600
981226963,suaold,3600
5123487828,lospenguinos1,3600
421143333,pazantre32,3600
7648834223,Pr0Hit,3570
863493722,shwepseee,3540
359001399,lexkurx,3510
697017219,Smus1g,3480
435052974,Pavnik79,3450
1653947247,TelegaMAT,3450
861290953,barabarabara229,3390
1809151911,sardorbekoff1,3340
5827085066,fufel_tag,3290
8055853715,maybeforex,3290
1385654940,bbbuuuiii,3270
6047418122,oscurecer,3190
7100768033,yagaplugg,3130
757671800,Dosya_E,3130
7473475028,Zowt1ks,3120
6358074217,aminsiko,3090
5022156247,Andrew_999_039,3060
5240892930,aghrab,3060
5850946624,durove_sosu,3030
891905791,aadmin_footg0l,3000
6537234199,Yarik_Zag,3000
5585395477,Ton9l,2980
8041880759,s1_islam,2970
8239613876,am_aliiy,2910
5858465626,xCRYPTOxMOONxCEOx,2860
5917675483,ArtMet7771,2820
724538684,rainnnndrop,2820
8291257975,saravamboJr,2790
6167142321,Oldik01,2790
844359245,Melnik026,2790
6502359394,globaldurov,2780
784613110,timo6kin,2760
8003310583,scof1eldd,2740
6514293873,APUCTOKPAT52,2670
827094080,yltrasalt2,2670
426907115,Sevlenty,2640
655001641,WexMiddleman,2630
7631984945,zarehetkol,2630
5502233570,mhdi_sp2,2630
1813807694,A_Yuldashev_7,2610
5901465587,vinchester41,2580
1047861894,AndreevPetr1,2570
