telegram_id,username,prize
811804113,xxx16lines,Tyler Gold Edition stickers (+ special prize)
523855783,Svyat_96,Tyler Mode: ON stickers
7075022117,goydurova_TON,Tyler Mode: ON stickers
1281821403,FIVESTARNURIK,⭐ 3000 Starz
304098685,Gashad0kuro,⭐ 1000 Starz
521444552,Faller26,⭐ 1000 Starz
7424708453,sbe2003mia,⭐ 500 Starz
5723244505,fishbetter,⭐ 500 Starz
5398900152,sprutel_pr,⭐ 500 Starz
544687,topac23,⭐ 100 Starz
860685642,sanyyaass,⭐ 100 Starz
90479410,slayerkillhate,⭐ 100 Starz
7731630031,skywrathmage,⭐ 100 Starz
